"sub","partner","day","meetAgain","meetAgain_9points","ShortTerm","LongTerm","Attractiveness","gender","grooveLevel","gRating","eRating","fRating","gcOUT","gcIN","ccOUT","ccIN"
"M10","F07","D1",1,7,7,7,7,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0280782603695289,0.0177541956958578,0.150122510736104,0.117088717327823
"M10","F08","D1",0,4,5,4,6,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0168137770927665,0.0127721170144235,-0.00979202165693589,0.0767663626544878
"M10","F09","D1",1,7,8,8,8,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0246036339976898,0.0162316626626264,0.21543578356701,0.212142777689432
"M11","F11","D1",0,6,1,1,3,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0183357307262728,0.0216100327663158,0.423616841379569,0.419548120651544
"M11","F12","D1",0,7,2,2,5,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0175287506144124,0.0278314843901795,0.0247266202600716,0.0647547731912431
"M11","F13","D1",0,2,7,1,7,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0101317389653506,0.0134830104066754,0.298624117895744,0.298624117895744
"M11","F14","D1",0,1,1,1,2,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0204710527361769,0.0127329295323708,0.317935957957102,0.317339406217714
"M11","F15","D1",0,1,1,1,2,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0240808336748337,0.0239620557224889,0.0185476607974555,0.0188019172413024
"M11","F01","D1",1,7,1,2,7,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0119403089230947,0.0149363464811465,0.234553429393359,0.236726619361201
"M11","F02","D1",0,1,1,1,2,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.0159344659978773,0.0100172041843187,0.142660360028767,0.141114006204414
"M11","F03","D1",0,5,1,1,4,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.0114398376538141,0.0201853215093157,0.177106174620567,0.177522057621109
"M11","F04","D1",0,1,1,1,1,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.012284059312047,0.0152568414064111,0.139123750476339,0.141318776913647
"M11","F06","D1",0,3,1,1,2,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0158197441954644,0.0138539517023455,0.263356719979783,0.268337451875835
"M11","F07","D1",0,3,1,1,3,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.0116170554632951,0.0217641964526347,0.25068965978023,0.202269746568296
"M11","F08","D1",0,1,1,1,4,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0111636555412922,0.0153567004129944,0.0959590412169733,0.0959590412169733
"M11","F09","D1",0,1,1,1,3,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0322171128448754,0.0280926982962768,0.433438747457192,0.433438747457192
"M12","F12","D1",1,7,7,5,6,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0153894758666695,0.0516106479013745,0.65762515366064,0.6704658045116
"M12","F13","D1",1,7,6,4,6,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.0136558580497033,0.0458681034850583,0.587332117139552,0.612310652055844
"M12","F14","D1",1,8,8,6,8,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0094352764458705,0.0258208504897572,0.283829239868839,0.288687167622856
"M12","F15","D1",0,6,5,4,6,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0129090991814005,0.063703243977753,0.62528493843264,0.634205899322252
"M12","F01","D1",1,8,6,6,9,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0220795957151738,0.0290236772737202,0.411475503285467,0.411475503285467
"M12","F02","D1",0,5,6,6,6,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.020002344084757,0.0183209302514902,0.1418879797471,0.1418879797471
"M12","F03","D1",0,6,6,5,5,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.0155608325706735,0.00816834260089561,0.158324847804266,0.160642841296417
"M12","F04","D1",0,6,5,5,5,"M","L",4.94736842105263,7.52631578947368,9.05263157894737,0.0193195008188347,0.0351312876049006,0.285869329337171,0.302283284042718
"M12","F06","D1",0,5,4,4,5,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.0194374902207022,0.0123511471451563,0.0142892298699851,0.0996447280695706
"M12","F07","D1",1,6,6,6,6,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0161858326474476,0.0183368814216687,0.157233717713112,0.157233717713112
"M12","F08","D1",0,7,7,7,6,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.068335709333204,0.0248234161406913,0.825966843519031,0.818691065524184
"M12","F09","D1",1,7,7,6,7,"M","H",8.10526315789474,7.52631578947368,8.94736842105263,0.0342374585845362,0.0430162126467266,0.664515209442458,0.664515209442458
"M12","F11","D1",0,6,5,5,5,"M","H",6.42105263157895,5.05263157894737,4.52631578947368,0.0158846330400237,0.0299080132275407,0.135491003988566,0.0681536729108099
"M13","F13","D1",1,7,5,7,3,"M","H",6.26315789473684,5.31578947368421,5.10526315789474,0.0174083104463403,0.0089269537914145,0.107983400451086,0.105699162320751
"M13","F14","D1",0,3,3,4,5,"M","L",4.10526315789474,5.78947368421053,5.73684210526316,0.00857366361840839,0.00990241187929541,0.11038976066772,0.070344333534796
"M13","F15","D1",0,5,5,5,7,"M","H",7.8421052631579,7.15789473684211,6.15789473684211,0.0195837146463589,0.0191470126217794,0.306446476093102,0.301919534784361
"M13","F01","D1",1,7,4,7,8,"M","L",4.26315789473684,5.78947368421053,5.89473684210526,0.0148630111163,0.0248919903794445,0.381918401715978,0.381918401715978
"M13","F02","D1",0,6,5,4,7,"M","H",7.78947368421053,7.52631578947368,8.42105263157895,0.0240842511766259,0.0188998989223226,0.366745170276866,0.344202081696157
"M13","F03","D1",1,6,4,6,6,"M","L",5.05263157894737,7.10526315789474,8.10526315789474,0.0286334215947663,0.0321129382111147,0.39903676564423,0.401018726494386
"M13","F04","D1",1,6,2,6,5,"M","H",8.05263157894737,7.26315789473684,8.26315789473684,0.0172520634082711,0.0164565954733913,0.131808242071511,0.129377507889131
"M13","F06","D1",1,5,3,5,5,"M","H",7.63157894736842,6.8421052631579,6.05263157894737,0.0289630063012689,0.0171824501157039,0.39244803134832,0.393725851612791
"M13","F07","D1",1,7,4,7,7,"M","L",5.68421052631579,8.36842105263158,9.52631578947369,0.0287204882675072,0.0217379631929102,0.201330814640718,0.201330814640718
"M13","F08","D1",1,7,5,6,6,"M","H",6.15789473684211,6.10526315789474,5.78947368421053,0.0334052777273626,0.0159475989446971,0.219944664483255,0.19678807749681
"M13","F09","D1",0,7,4,7,7,"M","L",3.89473684210526,6.31578947368421,7.57894736842105,0.0513333510778424,0.0168877591802419,0.589020178788391,0.586093248455256
"M13","F11","D1",0,5,3,4,5,"M","L",3.63157894736842,5.05263157894737,6.31578947368421,0.0240912890289273,0.0196372390629849,-0.0767273949476565,-0.0424930794312141
